id,year,value1,dmflag1,qcflag1,dsflag1,value2,dmflag2,qcflag2,dsflag2,value3,dmflag3,qcflag3,dsflag3,value4,dmflag4,qcflag4,dsflag4,value5,dmflag5,qcflag5,dsflag5,value6,dmflag6,qcflag6,dsflag6,value7,dmflag7,qcflag7,dsflag7,value8,dmflag8,qcflag8,dsflag8,value9,dmflag9,qcflag9,dsflag9,value10,dmflag10,qcflag10,dsflag10,value11,dmflag11,qcflag11,dsflag11,value12,dmflag12,qcflag12,dsflag12
USH00137161,1893,-9999, , , ,-375,E, , ,336,E, , ,1054,E, , ,1858,E, , ,2690,E, , ,2954,E, , ,2684,E, , ,2497,E, , ,1731,E, , ,690,E, , ,-249,E, , 
USH00137161,1894,-465,E, , ,-225,E, , ,1049,E, , ,1592,E, , ,2262,E, , ,2953,E, , ,3219,E, , ,3073,E, , ,2415,E, , ,1592,E,X, ,489,E,X, ,296,E,X, 
USH00137161,1895,-555,E,X, ,-354,E, , ,767,E, , ,1911,E, , ,2235,E, , ,2613,E, , ,2918,E, , ,2821,E, , ,2446,E, , ,1431,E, , ,585,E, , ,-75,E, , 
USH00137161,1896,-13,E, , ,200,E, , ,476,E, , ,1757,E, , ,2325,E, , ,2663,E, , ,2813,E, , ,2753,E, , ,1904,E, , ,1450,E, , ,91,E, , ,175,E, , 
USH00137161,1897,-469,E,X,3,-85,E,X, ,308,E,X, ,1322,E,X, ,2038,E,X, ,2573,E,X, ,2983,E,X, ,2587,E,X, ,2752,E,X, ,1928,E,X, ,638,E,X, ,-488,E,X, 
USH00137161,1898,-105,E,X, ,-101,E,X, ,796,E,X, ,1494,E,X, ,1958, , , ,2624, , , ,2922, , , ,2706, , , ,2330, , , ,1193,a, , ,361,c, , ,-429,a, , 
USH00137161,1899,-319,a, , ,-610,a, , ,-146,b, , ,1460, , , ,2062, , , ,2625, , , ,2862, , , ,2919, , , ,2301, , , ,1932,a, , ,1154, , , ,-139, , , 
USH00137161,1900,5, , , ,-516,c, , ,418, , , ,1689, , , ,2375, , , ,2624, , , ,2802, , , ,2991, , , ,2243, , , ,1975, , , ,380, , , ,30, , , 
USH00137161,1901,-36,g, , ,-304,d, , ,586,b, , ,1481, , , ,2136,b, , ,2745, , , ,3428, , , ,2925,a, , ,2219, , , ,1691,a, , ,694,b, , ,-227,b, , 
USH00137161,1902,-101,g, , ,-420, , , ,867,e, , ,1427,b, , ,2177,b, , ,2308,a, , ,2699, , , ,2456,a, , ,1966, , , ,1649,a, , ,765,c, , ,-337,c, , 
USH00137161,1903,-80,a, , ,-248, , , ,805,a, , ,1437, , , ,2078, , , ,2361, , , ,2781,a, , ,2557,b, , ,2095,a, , ,1725, , , ,614, , , ,-106,a, , 
USH00137161,1904,-618,a, , ,-530, , , ,532, , , ,1118, , , ,2166, , , ,2525,a, , ,2728, , , ,2617,b, , ,2232, , , ,1576,a, , ,1066, , , ,-96, , , 
USH00137161,1905,-788, , , ,-514,a, , ,1019, , , ,1316, , , ,1945, , , ,2714,a, , ,2601, , , ,2859, , , ,2290, , , ,1381, , , ,810, , , ,179,a, , 
USH00137161,1906,126, , , ,-13, , , ,160,a, , ,1659,E, , ,2090, , , ,2587, , , ,2848,a, , ,2834, , , ,2369, , , ,1464, , , ,475, , , ,-13, , , 
USH00137161,1907,-444, , , ,-15, , , ,909, , , ,1029, , , ,1797, , , ,2317, , , ,2882, , , ,2703, , , ,2149, , , ,1610, , , ,598, , , ,84, , , 
USH00137161,1908,36, , , ,-26,a, , ,716, , , ,1558, , , ,1993, , , ,2365, , , ,2841, , , ,2541, , , ,2445, , , ,1530, , , ,1042, , , ,248, , , 
USH00137161,1909,-262, , , ,27, , , ,319,a, , ,993, , , ,1993, , , ,2580, , , ,2701, , , ,3034, , , ,2050, , , ,1448, , , ,1115, , , ,-689, , , 
USH00137161,1910,-357, , , ,-339, , , ,1529, , , ,1598, , , ,1903, , , ,2621, , , ,2903, , , ,2722, , , ,2127,a, , ,1846, , , ,774, , , ,-111, , , 
USH00137161,1911,-297, , , ,182, , , ,1066, , , ,1274, , , ,2293, , , ,3078, , , ,3071, , , ,2741,a, , ,2210, , , ,1200, , , ,454,a, , ,318, , , 
USH00137161,1912,-1180, , , ,-399, , , ,-40, , , ,1601, , , ,2266, , , ,2426, , , ,2847, , , ,2673, , , ,2098, , , ,1753, , , ,1023, , , ,269, , , 
USH00137161,1913,-94, , , ,-263, , , ,539, , , ,1560, , , ,1866, , , ,2728, , , ,2966, , , ,2976, , , ,2123, , , ,1533, , , ,1123, , , ,338, , , 
USH00137161,1914,164, , , ,-484, , , ,592, , , ,1402, , , ,2274, , , ,2822, , , ,3104, , , ,2964, , , ,2343, , , ,1905,E, , ,1204, , , ,-573, , , 
USH00137161,1915,-429, , , ,35, , , ,112,E,X, ,2004,E,X, ,1838,E,X, ,2380,E,X, ,2466,E,X, ,2385,E,X, ,2095,E,X, ,1815,E,X, ,924,E,X, ,-53,E,X, 
USH00137161,1916,-497,E,X, ,-398,E,X, ,667,E,X, ,1284,E,X, ,2055,E,X, ,2435,E,X, ,3282,E,X, ,2930,E,X, ,2142,E,X, ,1484,E,X, ,719,E,X, ,-305,E,X, 
USH00137161,1917,-484,E,X, ,-521,E,X, ,575,E,X, ,1190,E,X, ,1879,E,X, ,2494,E,X, ,2954,E,X, ,2651,E,X, ,2199,E,X, ,1210,E,X, ,1010,E,X, ,-586,E,X, 
USH00137161,1918,-853,E,X, ,13,E,X, ,1266,E,X, ,1333,E,X, ,2443,b, , ,2709,c, , ,2914, , , ,3017, , , ,2068, , , ,1881,b, , ,594,i, , ,327, , , 
USH00137161,1919,186, , , ,-106, , , ,826, , , ,1332, , , ,1950, , , ,2645, , , ,3050,E, , ,2753,a, , ,2479,a, , ,1449, , , ,449, , , ,-661, , , 
USH00137161,1920,-557,a, , ,-238, , , ,790, , , ,965, , , ,2037, , , ,2671,E, , ,2759, , , ,2609,b, , ,2597,e, , ,2057,d, , ,565, , , ,-90,b, , 
USH00137161,1921,132, , , ,339,a, , ,1106,E, , ,1722,E, , ,2227,E, , ,2921,E, , ,3048, , , ,2729, , , ,2443,b, , ,1830,a, , ,417, , , ,-152,i, , 
USH00137161,1922,-294,a, , ,-5,E, , ,779,E, , ,1537,E, , ,2306,E, , ,2768,h, , ,2603,c, , ,2848, , , ,2488, , , ,1968, , , ,844,a, , ,-142,c, , 
USH00137161,1923,12, , , ,-126, , , ,256, , , ,1476,a, , ,2075, , , ,2550,E, , ,3021, , , ,2635, , , ,2322,b, , ,1509, , , ,1004, , , ,560, , , 
USH00137161,1924,-636, , , ,83,E, , ,247,E, , ,1612,b, , ,1739, , , ,2450,f, , ,2634, , , ,2670,E, , ,2078,E, , ,2126, , , ,928, , , ,-693,a, , 
USH00137161,1925,-340, , , ,157,E, , ,1060,E, , ,1997,E, , ,2179,E, , ,2542,c, , ,2970,e, , ,2818,h, , ,2625,a, , ,817, , , ,675, , , ,-287, , , 
USH00137161,1926,-111,b, , ,321,a, , ,449,a, , ,1462, , , ,2448, , , ,2615,E, , ,2928, , , ,2742,f, , ,2075,b, , ,1589,a, , ,341, , , ,-330, , , 
USH00137161,1927,-161, , , ,291, , , ,845,a, , ,1315, , , ,1875, , , ,2525,g, , ,2911,E, , ,2583,E, , ,2466,E, , ,1892,c, , ,658, , , ,-328, , , 
USH00137161,1928,63, , , ,130, , , ,968, , , ,1143, , , ,2267, , , ,2366,E, , ,2832,d, , ,2827, , , ,2174,a, , ,1744, , , ,684, , , ,216,E, , 
USH00137161,1929,-846,E, , ,-598,E, , ,788,a, , ,1574,E, , ,2019,E, , ,2572,E, , ,2898, , , ,2857, , , ,2173, , , ,1644, , , ,402,E, , ,-56, , , 
USH00137161,1930,-823,E, , ,604,E, , ,845, , , ,1723, , , ,2036, , , ,2581, , , ,3235, , , ,2964, , , ,2526,a, , ,1575,a, , ,1032, , , ,4, , , 
USH00137161,1931,249, , , ,708, , , ,630, , , ,1691, , , ,2090, , , ,3010, , , ,3221, , , ,2942, , , ,2712, , , ,1859,a, , ,1082, , , ,373, , , 
USH00137161,1932,-408, , , ,131,E, , ,203, , , ,1511,E,X, ,2344, , , ,2748, , , ,3063, , , ,2790, , , ,2360, , , ,1511, , , ,460, , , ,-283, , , 
USH00137161,1933,379, , , ,-22, , , ,650, , , ,1528, , , ,2164, , , ,3383, , , ,3187, , , ,2685, , , ,2649, , , ,1594, , , ,952, , , ,174, , , 
USH00137161,1934,-12, , , ,166, , , ,732, , , ,1678, , , ,2991, , , ,3219, , , ,3194, , , ,2988, , , ,2200, , , ,2030, , , ,920, , , ,-260, , , 
USH00137161,1935,-310, , , ,168, , , ,954, , , ,1277, , , ,1751, , , ,2426, , , ,3335, , , ,2960, , , ,2494, , , ,1546, , , ,414, , , ,-220, , , 
USH00137161,1936,-935, , , ,-1139, , , ,882, , , ,1368, , , ,2500, , , ,2750, , , ,3672, , , ,3346, , , ,2506, , , ,1574, , , ,652, , , ,83, , , 
USH00137161,1937,-824, , , ,-383, , , ,389, , , ,1237, , , ,2223, , , ,2607, , , ,3136, , , ,3172, , , ,2597,a, , ,1558, , , ,608, , , ,-153, , , 
USH00137161,1938,-263, , , ,48,a, , ,1136, , , ,1512, , , ,2052, , , ,2710, , , ,3114, , , ,3006, , , ,2550, , , ,2272, , , ,749, , , ,75, , , 
